year,sid,customer_rows,providers,distinct_providers,max_distance_km
2023,126962.0,2,"LAPAN, NASA",2,0.10576375561013297
2023,126982.0,2,"LAPAN, NASA",2,0.0986907301008343
2023,126983.0,2,"LAPAN, NASA",2,0.09723389234574394
2023,126985.0,2,"LAPAN, NASA",2,0.0988817680548807
2023,126986.0,2,"LAPAN, NASA",2,0.09775188452467984
2023,126987.0,2,"LAPAN, NASA",2,0.10723918951406108
2023,127034.0,2,"LAPAN, NASA",2,0.10067417276161168
2023,127046.0,2,"LAPAN, NASA",2,0.09778721402655152
2023,127282.0,2,"LAPAN, NASA",2,0.16273241427124205
2023,127287.0,2,"LAPAN, NASA",2,0.15618843194893392
2023,127288.0,2,"LAPAN, NASA",2,0.16056978596334998
2023,128061.0,2,"LAPAN, NASA",2,0.10918941951133082
2023,128063.0,2,"LAPAN, NASA",2,0.11296857739116514
2023,128064.0,2,"LAPAN, NASA",2,0.11433290590018245
2023,128355.0,2,"LAPAN, NASA",2,0.08814332124462337
2023,130036.0,2,"LAPAN, NASA",2,0.142852578333389
2023,130039.0,2,"LAPAN, NASA",2,0.14440437093837474
2023,130040.0,2,"LAPAN, NASA",2,0.14506805380457038
