customer_id,year,Sumber,Satellite,primary_500m,same_sat_2km,any_sat_500m,same_sat_wide_time_500m
2019:446,2019,LAPAN,Aqua,False,False,True,False
2019:450,2019,LAPAN,Aqua,False,False,True,False
2019:453,2019,LAPAN,Aqua,False,False,True,False
2019:458,2019,LAPAN,Aqua,False,False,True,False
2019:459,2019,LAPAN,Aqua,False,False,True,False
2019:460,2019,LAPAN,Aqua,False,False,True,False
2019:462,2019,LAPAN,Aqua,False,False,False,False
2019:463,2019,LAPAN,Aqua,False,False,False,False
2019:472,2019,LAPAN,Terra,False,True,False,False
2019:475,2019,LAPAN,Terra,False,True,False,False
2019:483,2019,LAPAN,Terra,False,True,False,False
2019:487,2019,LAPAN,SNPP,False,False,True,False
2019:488,2019,LAPAN,SNPP,False,False,True,False
2019:489,2019,LAPAN,SNPP,False,False,True,False
2019:490,2019,LAPAN,SNPP,False,False,True,False
2019:491,2019,LAPAN,SNPP,False,False,True,False
2019:492,2019,LAPAN,SNPP,False,False,True,False
2019:493,2019,LAPAN,SNPP,False,False,True,False
2019:494,2019,LAPAN,SNPP,False,False,True,False
2019:495,2019,LAPAN,SNPP,False,False,True,False
2019:496,2019,LAPAN,SNPP,False,False,True,False
2019:497,2019,LAPAN,SNPP,False,False,False,False
2019:498,2019,LAPAN,Aqua,False,True,False,False
2019:503,2019,LAPAN,SNPP,False,True,False,False
2019:523,2019,ASMC,NOAA20,False,False,False,False
2019:524,2019,ASMC,NOAA20,False,False,False,False
2019:525,2019,ASMC,NOAA20,False,False,False,False
2019:526,2019,ASMC,NOAA20,False,False,False,False
2019:527,2019,ASMC,NOAA20,False,False,False,False
2019:546,2019,LAPAN,Terra,False,True,False,False
2019:561,2019,LAPAN,Terra,False,False,True,False
2019:562,2019,LAPAN,Terra,False,False,True,False
2019:563,2019,LAPAN,Terra,False,False,True,False
2019:564,2019,LAPAN,Terra,False,False,True,False
2019:565,2019,LAPAN,Terra,False,False,True,False
2019:566,2019,LAPAN,Terra,False,False,True,False
2019:567,2019,LAPAN,Terra,False,False,True,False
2019:568,2019,LAPAN,Terra,False,False,True,False
2019:571,2019,LAPAN,Terra,False,False,True,False
2019:572,2019,LAPAN,Terra,False,False,True,False
2019:573,2019,LAPAN,Terra,False,False,True,False
2019:574,2019,LAPAN,Terra,False,False,True,False
2019:582,2019,LAPAN,Terra,False,False,True,False
