customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count
274,899235,0.27387049048649875,408.0,True,False,-12.0,1
275,899268,0.3280719893408524,408.0,True,False,-12.0,2
276,899265,0.33795973300933574,408.0,True,False,-12.0,1
278,900867,0.3471103562980955,367.0,True,False,-53.0,2
279,900868,0.09699877202412568,367.0,True,False,-53.0,4
280,901720,0.2869026801592341,367.0,True,False,-53.0,5
281,901707,0.28602544140821556,367.0,True,False,-53.0,4
282,901713,0.3095819753049349,367.0,True,False,-53.0,1
283,901712,0.3623318238953911,367.0,True,False,-53.0,1
291,15465,0.029257080077515325,402.0,True,False,-18.0,1
292,15464,0.03767099347030769,402.0,True,False,-18.0,1
293,15467,0.02926381682762793,402.0,True,False,-18.0,1
294,15466,0.03517951419987839,402.0,True,False,-18.0,1
295,15463,0.03168371133435768,402.0,True,False,-18.0,1
296,15494,0.041830735820495846,401.0,True,False,-19.0,1
297,15497,0.04052116178969845,401.0,True,False,-19.0,1
298,15461,0.03895271771268033,402.0,True,False,-18.0,1
299,15462,0.03023268628620291,402.0,True,False,-18.0,1
300,903256,0.2542925264121465,385.0,True,False,-35.0,4
301,903246,0.2537209267930946,385.0,True,False,-35.0,2
302,903243,0.22805009379799326,385.0,True,False,-35.0,3
303,903138,0.24271440076969614,385.0,True,False,-35.0,4
304,903159,0.2589671488930341,385.0,True,False,-35.0,4
305,903141,0.23499023977239505,385.0,True,False,-35.0,2
306,903267,0.2714399388971867,385.0,True,False,-35.0,2
307,903265,0.2464059951662471,385.0,True,False,-35.0,2
308,903153,0.25382439281915764,385.0,True,False,-35.0,4
309,903229,0.25108996972160613,385.0,True,False,-35.0,4
310,903227,0.22912633372810948,385.0,True,False,-35.0,4
311,902482,0.27426615729679976,386.0,True,False,-34.0,1
312,902465,0.20635441635771884,386.0,True,False,-34.0,4
313,903152,0.24271473351891176,385.0,True,False,-35.0,2
314,903241,0.25194759480910084,385.0,True,False,-35.0,4
315,903261,0.24525061664415806,385.0,True,False,-35.0,4
316,903262,0.25906797734879194,385.0,True,False,-35.0,2
317,903158,0.23616112934578476,385.0,True,False,-35.0,3
318,902504,0.2314871016608672,386.0,True,False,-34.0,2
319,903259,0.22560871080593492,385.0,True,False,-35.0,4
320,903155,0.2312718637292264,385.0,True,False,-35.0,4
321,903242,0.24802000194072435,385.0,True,False,-35.0,3
322,903245,0.24776530962519175,385.0,True,False,-35.0,4
323,903230,0.2489672278636785,385.0,True,False,-35.0,2
324,903139,0.2545506358030958,385.0,True,False,-35.0,4
325,15682,0.01527543970721108,379.0,True,False,-41.0,1
326,15683,0.014340755679433624,379.0,True,False,-41.0,1
328,15675,0.016220619682377594,379.0,True,False,-41.0,1
329,15679,0.012841633175386138,379.0,True,False,-41.0,1
330,15673,0.01203261730450645,379.0,True,False,-41.0,1
331,15670,0.014155568781839186,380.0,True,False,-40.0,1
332,15672,0.010580832830533807,380.0,True,False,-40.0,1
333,15680,0.01650498247830513,379.0,True,False,-41.0,1
334,15677,0.01262018105160343,379.0,True,False,-41.0,1
335,15674,0.01567440393709825,379.0,True,False,-41.0,1
336,15684,0.02148288549275561,379.0,True,False,-41.0,1
337,15681,0.020689128560105813,379.0,True,False,-41.0,1
338,15686,0.019210381340881214,379.0,True,False,-41.0,1
340,15671,0.017032167747467547,380.0,True,False,-40.0,1
341,15678,0.020378032858899192,379.0,True,False,-41.0,1
342,15676,0.019310442533028757,379.0,True,False,-41.0,1
343,15687,0.01633581074157231,379.0,True,False,-41.0,1
345,15685,0.017411094683029767,379.0,True,False,-41.0,1
347,15775,0.04639159879804135,384.0,True,False,-36.0,1
352,15712,0.04640863245803756,385.0,True,False,-35.0,1
356,15781,0.04461774457763447,384.0,True,False,-36.0,1
357,15776,0.04766480421972112,384.0,True,False,-36.0,1
358,15794,0.04548565132752839,384.0,True,False,-36.0,1
359,15788,0.042511730338715956,384.0,True,False,-36.0,1
363,15812,0.04541845820068752,384.0,True,False,-36.0,1
379,15947,0.03887208507081142,362.0,True,False,-58.0,1
380,15970,0.04111382499061785,362.0,True,False,-58.0,1
381,905126,0.21778540356667558,404.0,True,False,-16.0,4
382,15969,0.0348915734300097,362.0,True,False,-58.0,1
383,905143,0.27828092785416453,404.0,True,False,-16.0,4
384,905161,0.2193557158085519,404.0,True,False,-16.0,4
385,905141,0.2246447079900376,404.0,True,False,-16.0,4
386,905138,0.3215601637984055,404.0,True,False,-16.0,2
387,905049,0.2538237697181258,404.0,True,False,-16.0,6
388,15965,0.04189187897654468,362.0,True,False,-58.0,1
389,15964,0.04336607639045564,362.0,True,False,-58.0,1
390,905164,0.2525121713504178,404.0,True,False,-16.0,4
391,15962,0.04257964274007209,362.0,True,False,-58.0,1
392,905022,0.20685916913485544,404.0,True,False,-16.0,4
393,905004,0.2893015083129351,404.0,True,False,-16.0,6
394,905016,0.23321361452109152,404.0,True,False,-16.0,8
395,15960,0.04399120014154486,362.0,True,False,-58.0,1
