year,rule,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2019,r=2km;t=30min;n>=5,4496,118569,2818,66866,123065,7314,0.6147115121684441,0.036533539186608704,0.068968162050637
2019,r=2km;t=60min;n>=2,6618,168370,696,17065,174988,7314,0.9048400328137818,0.037819736210483006,0.07260479863084332
2019,r=2km;t=60min;n>=3,5990,153718,1324,31717,159708,7314,0.8189773038009297,0.03750594835574924,0.0717270778699812
2019,r=2km;t=60min;n>=5,5034,133953,2280,51482,138987,7314,0.6882690730106645,0.03621921474670293,0.06881702790821662
2019,r=2km;t=1440min;n>=2,7079,175569,235,9866,182648,7314,0.9678698386655729,0.038757610266742584,0.07453069561280677
2019,r=2km;t=1440min;n>=3,6885,167470,429,17965,174355,7314,0.9413453650533224,0.03948840010323765,0.07579719159570428
2019,r=2km;t=1440min;n>=5,6548,155986,766,29449,162534,7314,0.895269346458846,0.04028695534472787,0.07710423437426404
2019,quoted_same_satellite,3852,145577,3462,39858,149429,7314,0.5266611977030353,0.025778128743416607,0.049150520278417535
2019,quoted_other_satellite,2800,38646,4514,146789,41446,7314,0.3828274541974296,0.06755778603484051,0.11484823625922888
2019,quoted_different_time,2544,38678,4770,146757,41222,7314,0.34782608695652173,0.0617146184076464,0.10482940497774848
2019,quoted_prior_strict,1175,19216,6139,166219,20391,7314,0.16065080667213563,0.057623461330979356,0.08482223425374481
2019,all_hotspots,7314,185435,0,0,192749,7314,1.0,0.037945722156794585,0.07311696815503116
2019,confidence>=30_only,6794,176472,520,8963,183266,7314,0.9289034727919059,0.03707179727827311,0.07129814251233078
2019,confidence>=50_only,6251,174421,1063,11014,180672,7314,0.8546622914957616,0.03459860963513992,0.0665049524964625
2019,confidence>=80_only,1850,13706,5464,171729,15556,7314,0.2529395679518731,0.11892517356646953,0.16178399650196765
2019,type0_only,7313,182928,1,2507,190241,7314,0.9998632759092152,0.0384407146724418,0.07403507883880438
2019,day_only,5066,91000,2248,94435,96066,7314,0.692644243915778,0.0527345783107447,0.09800735151866899
2019,FRP>=1_only,7312,172280,2,13155,179592,7314,0.9997265518184304,0.04071450844135596,0.07824253903031471
2019,FRP>=5_only,6715,94784,599,90651,101499,7314,0.918102269619907,0.06615828727376624,0.12342275279608135
2019,FRP>=10_only,4749,51569,2565,133866,56318,7314,0.6493027071369976,0.08432472744060514,0.14926452099572543
2019,FRP>=20_only,2604,24168,4710,161267,26772,7314,0.3560295324036095,0.0972658000896459,0.15279000176025348
2019,FRP>=50_only,905,7585,6409,177850,8490,7314,0.12373530216024063,0.10659599528857479,0.11452796760313845
